user_id,month,plan,city,total_minutes,messages_sent,data_volume_mb,minutes_included,messages_included,mb_per_month_included,usd_monthly_pay,usd_per_minute,usd_per_message,usd_per_gb,excess_minutes,excess_messages,excess_data_gb,monthly_revenue
1000,2018-12,ultimate,"Atlanta-Sandy Springs-Roswell, GA MSA",116.83,11.0,1901.47,3000,1000,30720,70,0.01,0.01,7,0.0,0.0,0.0,70.0
1001,2018-08,surf,"Seattle-Tacoma-Bellevue, WA MSA",171.14,30.0,6919.15,500,50,15360,20,0.03,0.03,10,0.0,0.0,0.0,20.0
1001,2018-09,surf,"Seattle-Tacoma-Bellevue, WA MSA",297.69,44.0,13314.82,500,50,15360,20,0.03,0.03,10,0.0,0.0,0.0,20.0
1001,2018-10,surf,"Seattle-Tacoma-Bellevue, WA MSA",374.11,53.0,22330.49,500,50,15360,20,0.03,0.03,10,0.0,3.0,6.807119140625002,88.16
1001,2018-11,surf,"Seattle-Tacoma-Bellevue, WA MSA",404.59,36.0,18504.3,500,50,15360,20,0.03,0.03,10,0.0,0.0,3.0706054687499993,50.71
1001,2018-12,surf,"Seattle-Tacoma-Bellevue, WA MSA",392.93,44.0,19369.18,500,50,15360,20,0.03,0.03,10,0.0,0.0,3.9152148437500003,59.15
1002,2018-10,surf,"Las Vegas-Henderson-Paradise, NV MSA",54.13,15.0,6552.01,500,50,15360,20,0.03,0.03,10,0.0,0.0,0.0,20.0
1002,2018-11,surf,"Las Vegas-Henderson-Paradise, NV MSA",359.76,32.0,19345.08,500,50,15360,20,0.03,0.03,10,0.0,0.0,3.8916796875000017,58.92
1002,2018-12,surf,"Las Vegas-Henderson-Paradise, NV MSA",363.24,41.0,14396.24,500,50,15360,20,0.03,0.03,10,0.0,0.0,0.0,20.0
1003,2018-12,surf,"Tulsa, OK MSA",1041.0,50.0,27044.14,500,50,15360,20,0.03,0.03,10,541.0,0.0,11.41029296875,150.33
1004,2018-05,surf,"Seattle-Tacoma-Bellevue, WA MSA",181.58,7.0,6547.21,500,50,15360,20,0.03,0.03,10,0.0,0.0,0.0,20.0
1004,2018-06,surf,"Seattle-Tacoma-Bellevue, WA MSA",261.32,18.0,20672.82,500,50,15360,20,0.03,0.03,10,0.0,0.0,5.18830078125,71.88
1004,2018-07,surf,"Seattle-Tacoma-Bellevue, WA MSA",358.45,26.0,24516.62,500,50,15360,20,0.03,0.03,10,0.0,0.0,8.942011718749999,109.42
1004,2018-08,surf,"Seattle-Tacoma-Bellevue, WA MSA",334.86,25.0,27981.739999999998,500,50,15360,20,0.03,0.03,10,0.0,0.0,12.325917968749998,143.26
1004,2018-09,surf,"Seattle-Tacoma-Bellevue, WA MSA",284.6,21.0,18852.72,500,50,15360,20,0.03,0.03,10,0.0,0.0,3.410859375000001,54.11
1004,2018-10,surf,"Seattle-Tacoma-Bellevue, WA MSA",341.63,24.0,14541.63,500,50,15360,20,0.03,0.03,10,0.0,0.0,0.0,20.0
1004,2018-11,surf,"Seattle-Tacoma-Bellevue, WA MSA",452.98,25.0,21850.78,500,50,15360,20,0.03,0.03,10,0.0,0.0,6.338652343749999,83.39
1004,2018-12,surf,"Seattle-Tacoma-Bellevue, WA MSA",403.53000000000003,31.0,21389.29,500,50,15360,20,0.03,0.03,10,0.0,0.0,5.887978515625001,78.88
1005,2018-12,surf,"Dallas-Fort Worth-Arlington, TX MSA",470.22,11.0,17140.17,500,50,15360,20,0.03,0.03,10,0.0,0.0,1.7384472656249983,37.38
1006,2018-11,ultimate,"San Francisco-Oakland-Berkeley, CA MSA",9.32,15.0,2068.37,3000,1000,30720,70,0.01,0.01,7,0.0,0.0,0.0,70.0
